leagueName,teamName,venueName,lat,long
Major League Baseball,Arizona Diamondbacks,Chase Field,33.445277777778,-112.06694444444
Major League Baseball,Atlanta Braves,Truist Park,33.8912,-84.4683
Major League Baseball,Baltimore Orioles,Oriole Park at Camden Yards,39.283888888889,-76.621666666667
Major League Baseball,Boston Red Sox,Fenway Park,42.346388888889,-71.0975
Major League Baseball,Chicago Cubs,Wrigley Field,41.948333333333,-87.655555555556
Major League Baseball,Chicago White Sox,Guaranteed Rate Field,41.83,-87.633888888889
Major League Baseball,Cincinnati Reds,Great American Ball Park,39.0975,-84.506666666667
Major League Baseball,Cleveland Indians,Progressive Field,41.495833333333,-81.685277777778
Major League Baseball,Colorado Rockies,Coors Field,39.756111111111,-104.99416666667
Major League Baseball,Detroit Tigers,Comerica Park,42.339166666667,-83.048611111111
Major League Baseball,Houston Astros,Minute Maid Park,29.756944444444,-95.355555555556
Major League Baseball,Kansas City Royals,Kauffman Stadium,39.051388888889,-94.480555555556
Major League Baseball,Los Angeles Angels,Angel Stadium of Anaheim,33.800277777778,-117.88277777778
Major League Baseball,Los Angeles Dodgers,Dodger Stadium,34.073611111111,-118.24
Major League Baseball,Miami Marlins,Marlins Park,25.778056,-80.219722
Major League Baseball,Milwaukee Brewers,Miller Park,43.028333333333,-87.971111111111
Major League Baseball,Minnesota Twins,Target Field,44.981667,-93.278333
Major League Baseball,Montreal Expos,Olympic Stadium of Montreal,45.557777777778,-73.551944444444
Major League Baseball,Montreal Expos,Jarry Park Stadium,45.532778,-73.626944
Major League Baseball,New York Mets,Citi Field,40.756986,-73.845783
Major League Baseball,New York Yankees,Yankee Stadium,40.829569,-73.926392
Major League Baseball,Oakland Athletics,RingCentral Coliseum,37.751666666667,-122.20055555556
Major League Baseball,Philadelphia Phillies,Citizens Bank Park,39.905833333333,-75.166388888889
Major League Baseball,Pittsburgh Pirates,PNC Park,40.446944444444,-80.005833333333
Major League Baseball,San Diego Padres,Petco Park,32.707333,-117.156944
Major League Baseball,San Francisco Giants,Oracle Park,37.778333333333,-122.38944444444
Major League Baseball,Seattle Mariners,T-Mobile Park,47.591388888889,-122.3325
Major League Baseball,St. Louis Cardinals,Busch Stadium,38.6225,-90.193056
Major League Baseball,Tampa Bay Rays,Tropicana Field,27.768333333333,-82.653333333333
Major League Baseball,Texas Rangers,Globe Life Park in Arlington,32.751388888889,-97.082777777778
Major League Baseball,Toronto Blue Jays,Rogers Centre,43.641388888889,-79.389166666667
Major League Baseball,Washington Nationals,Nationals Park,38.872778,-77.0075
Major League Soccer,Atlanta United FC,Mercedes-Benz Stadium,33.755277777778,-84.400833333333
Major League Soccer,Austin FC,Austin FC stadium,30.388206,-97.719837
Major League Soccer,C.D. Chivas USA,Dignity Health Sports Park,33.864444444444,-118.26111111111
Major League Soccer,Chicago Fire FC,Soldier Field,41.8625,-87.616666666667
Major League Soccer,Colorado Rapids,Dick's Sporting Goods Park,39.805555555556,-104.89194444444
Major League Soccer,Columbus Crew SC,Mapfre Stadium,40.009444444444,-82.991111111111
Major League Soccer,D.C. United,Audi Field,38.868504,-77.012935
Major League Soccer,FC Cincinnati,West End Stadium,39.111388888889,-84.522222222222
Major League Soccer,FC Dallas,Toyota Stadium,33.154458333333,-96.835158333333
Major League Soccer,Houston Dynamo,BBVA Stadium,29.7522,-95.3524
Major League Soccer,Inter Miami CF,Miami Freedom Park,25.78055556,-80.20555556
Major League Soccer,Los Angeles FC,Banc of California Stadium,34.013,-118.285
Major League Soccer,Los Angeles Galaxy,Dignity Health Sports Park,33.864444444444,-118.26111111111
Major League Soccer,Miami Fusion F.C.,Lockhart Stadium,26.193055555556,-80.161111111111
Major League Soccer,Minnesota United FC,Allianz Field,44.9528,-93.1651
Major League Soccer,Montreal Impact,Saputo Stadium,45.563055555556,-73.5525
Major League Soccer,New England Revolution,Gillette Stadium,42.090944444444,-71.264344444444
Major League Soccer,New York City FC,Red Bull Arena,40.736666666667,-74.150277777778
Major League Soccer,New York Red Bulls,Red Bull Arena,40.736666666667,-74.150277777778
Major League Soccer,Orlando City SC,Exploria Stadium,28.5410645,-81.389035
Major League Soccer,Philadelphia Union,Subaru Park,39.832222,-75.378889
Major League Soccer,Portland Timbers,Providence Park,45.521388888889,-122.69166666667
Major League Soccer,Real Salt Lake,Rio Tinto Stadium,40.5829,-111.893
Major League Soccer,San Jose Earthquakes,Buck Shaw Stadium,37.350556,-121.936667
Major League Soccer,Seattle Sounders FC,CenturyLink Field,47.595277777778,-122.33166666667
Major League Soccer,Sporting Kansas City,Children's Mercy Park,39.1218,-94.8237
Major League Soccer,St. Louis MLS team,St. Louis MLS Stadium,38.631052,-90.210921
Major League Soccer,Tampa Bay Mutiny,Raymond James Stadium,27.975833333333,-82.503333333333
Major League Soccer,Toronto FC,BMO Field,43.632778,-79.418611
Major League Soccer,Vancouver Whitecaps FC,BC Place,49.276666666667,-123.11194444444
